"mmsi","year","month","hours","kir","post","date"
538060018,2012,7,8.28375,FALSE,FALSE,2012-07-01
36764000,2012,7,42.3459722222222,FALSE,FALSE,2012-07-01
440450000,2012,7,28.4801388888889,FALSE,FALSE,2012-07-01
440233000,2012,6,8.65513888888889,FALSE,FALSE,2012-06-01
440410000,2012,6,13.8581944444444,FALSE,FALSE,2012-06-01
440604000,2012,8,219.429583333333,FALSE,FALSE,2012-08-01
366927000,2012,6,23.9195833333333,FALSE,FALSE,2012-06-01
36764000,2012,6,15.3222222222222,FALSE,FALSE,2012-06-01
441837000,2012,7,16.0672222222222,FALSE,FALSE,2012-07-01
440846000,2012,7,21.8544444444444,FALSE,FALSE,2012-07-01
441066000,2012,7,10.7472222222222,FALSE,FALSE,2012-07-01
440777000,2012,7,242.1975,FALSE,FALSE,2012-07-01
440809000,2012,7,505.97875,FALSE,FALSE,2012-07-01
440826000,2012,7,47.5652777777778,FALSE,FALSE,2012-07-01
440715000,2012,7,42.3272222222222,FALSE,FALSE,2012-07-01
440823000,2012,7,29.6659722222222,FALSE,FALSE,2012-07-01
440233000,2012,7,1.97541666666667,FALSE,FALSE,2012-07-01
440823000,2012,6,19.8298611111111,FALSE,FALSE,2012-06-01
440919000,2012,6,166.124444444444,FALSE,FALSE,2012-06-01
538060018,2012,6,34.2301388888889,FALSE,FALSE,2012-06-01
529440000,2012,6,33.4870833333333,TRUE,FALSE,2012-06-01
440968000,2012,6,34.4527777777778,FALSE,FALSE,2012-06-01
548831000,2012,7,14.11,FALSE,FALSE,2012-07-01
735057565,2012,7,11.8041666666667,FALSE,FALSE,2012-07-01
440968000,2012,5,11.4215277777778,FALSE,FALSE,2012-05-01
441680000,2012,5,610.672361111111,FALSE,FALSE,2012-05-01
441645000,2012,5,601.793888888889,FALSE,FALSE,2012-05-01
440787000,2012,5,587.876388888889,FALSE,FALSE,2012-05-01
440612000,2012,5,632.97,FALSE,FALSE,2012-05-01
440648000,2012,5,679.298333333333,FALSE,FALSE,2012-05-01
440504000,2012,5,593.001111111111,FALSE,FALSE,2012-05-01
440920000,2012,5,667.184444444444,FALSE,FALSE,2012-05-01
440992000,2012,5,635.703333333333,FALSE,FALSE,2012-05-01
432507000,2012,5,98.8169444444444,FALSE,FALSE,2012-05-01
441081000,2012,5,644.656111111111,FALSE,FALSE,2012-05-01
441098000,2012,5,640.955416666667,FALSE,FALSE,2012-05-01
440821000,2012,5,617.249861111111,FALSE,FALSE,2012-05-01
440778000,2012,5,625.789722222222,FALSE,FALSE,2012-05-01
529415000,2012,5,688.943055555556,TRUE,FALSE,2012-05-01
440963000,2012,5,689.684027777778,FALSE,FALSE,2012-05-01
440604000,2012,5,566.28,FALSE,FALSE,2012-05-01
441251000,2012,5,602.073472222222,FALSE,FALSE,2012-05-01
440590000,2012,5,661.910555555556,FALSE,FALSE,2012-05-01
520227000,2012,5,498.324027777778,FALSE,FALSE,2012-05-01
444042912,2012,5,19.1893055555556,FALSE,FALSE,2012-05-01
440781000,2012,5,532.987361111111,FALSE,FALSE,2012-05-01
440246000,2012,5,628.090694444445,FALSE,FALSE,2012-05-01
440765000,2012,5,633.996666666667,FALSE,FALSE,2012-05-01
440927000,2012,5,630.574583333333,FALSE,FALSE,2012-05-01
440656000,2012,5,617.251944444444,FALSE,FALSE,2012-05-01
440236000,2012,5,655.664027777778,FALSE,FALSE,2012-05-01
440952000,2012,5,638.354861111111,FALSE,FALSE,2012-05-01
440444000,2012,5,28.2669444444444,FALSE,FALSE,2012-05-01
441536000,2012,5,540.340277777778,FALSE,FALSE,2012-05-01
440055000,2012,5,458.310416666667,FALSE,FALSE,2012-05-01
440450000,2012,5,39.3011111111111,FALSE,FALSE,2012-05-01
440462000,2012,5,10.7968055555556,FALSE,FALSE,2012-05-01
416233600,2012,4,42.6475,FALSE,FALSE,2012-04-01
529440000,2012,4,43.2823611111111,TRUE,FALSE,2012-04-01
441650000,2012,4,542.109027777778,FALSE,FALSE,2012-04-01
441644000,2012,4,669.884722222222,FALSE,FALSE,2012-04-01
440858000,2012,4,635.791388888889,FALSE,FALSE,2012-04-01
440656000,2012,4,674.865833333334,FALSE,FALSE,2012-04-01
440055000,2012,4,514.660138888889,FALSE,FALSE,2012-04-01
440641000,2012,4,524.657638888889,FALSE,FALSE,2012-04-01
441660000,2012,4,705.150555555556,FALSE,FALSE,2012-04-01
440647000,2012,4,710.649027777778,FALSE,FALSE,2012-04-01
441811000,2012,4,718.112222222222,FALSE,FALSE,2012-04-01
440931000,2012,4,705.185416666666,FALSE,FALSE,2012-04-01
440950000,2012,4,679.975833333333,FALSE,FALSE,2012-04-01
440820000,2012,4,575.86875,FALSE,FALSE,2012-04-01
440590000,2012,4,639.379583333333,FALSE,FALSE,2012-04-01
440595000,2012,4,597.473472222222,FALSE,FALSE,2012-04-01
224680000,2012,4,40.3926388888889,FALSE,FALSE,2012-04-01
441446000,2012,4,44.8752777777778,FALSE,FALSE,2012-04-01
441446000,2012,5,19.2783333333333,FALSE,FALSE,2012-05-01
735059089,2012,5,5.66472222222222,FALSE,FALSE,2012-05-01
735057565,2012,6,4.69569444444444,FALSE,FALSE,2012-06-01
444042912,2012,4,7.7025,FALSE,FALSE,2012-04-01
444080710,2012,4,84.4704166666667,FALSE,FALSE,2012-04-01
548831000,2012,4,52.7538888888889,FALSE,FALSE,2012-04-01
440450000,2012,4,37.1923611111111,FALSE,FALSE,2012-04-01
441837000,2012,6,1.32930555555556,FALSE,FALSE,2012-06-01
538060018,2012,5,10.8136111111111,FALSE,FALSE,2012-05-01
36764000,2012,5,10.5993055555556,FALSE,FALSE,2012-05-01
529417000,2012,3,35.2376388888889,TRUE,FALSE,2012-03-01
441536000,2012,3,649.66,FALSE,FALSE,2012-03-01
440787000,2012,3,523.77875,FALSE,FALSE,2012-03-01
